"id","firstName","lastName","role","service","title","nameStatus"
"sol-review-044","","","Sales Manager","Sales Funnel","Sales Funnel Review",""
"sol-review-045","","","Administrative Client","Documentation","Business Documentation Review",""
"sol-review-046","","","Startup Founder","Founder Support","Founder Support Review",""
"sol-review-047","","","Customer Experience Client","Customer Experience","Customer Journey Review",""
"sol-review-048","","","Sales Client","Sales Funnel","Sales Material Review",""
"sol-review-049","","","Operations Consultant","Business Operations","Operational Confidence Review",""
"sol-review-050","","","Professional Services Client","Brand Strategy","Professional Presentation Review",""
"sol-review-051","","","Service Provider","Service Strategy","Service Clarity Review",""
"sol-review-052","","","Marketing Client","Marketing Support","Marketing Foundation Review",""
"sol-review-053","","","Service Packaging Client","Service Strategy","Productized Services Review",""
"sol-review-054","","","Long-Term Client","Long-Term Value","Long-Term System Growth Review",""
"sol-review-055","","","Executive Client","Executive Support","Executive Clarity Review",""
"sol-review-056","","","Conversion Client","Sales Funnel","CTA Flow Review",""
"sol-review-057","","","Business Owner","Business Value","Real Business Value Review",""
"sol-review-058","","","Long-Term Review","Long-Term Value","Five-Year Service Review",""
"sol-review-059","","","Multi-Service Client","Business Value","All-In-One Support Review",""
"sol-review-060","","","Business Presentation Client","Brand Strategy","Serious Presence Review",""
"sol-review-061","","","Trust-Building Client","Trust Building","Client Trust Review",""
"sol-review-062","","","Founder Client","Founder Support","Founder Execution Review",""
"sol-review-063","","","Opportunity Readiness Client","Business Value","Business Readiness Review",""
"sol-review-064","","","Long-Term Growth Client","Long-Term Value","Support That Compounds Review",""
"sol-review-065","","","Five-Year Client Contact","Long-Term Value","Five-Year Value Review",""
"sol-review-066","","","Procurement Readiness Client","Government Contracting","Government Capability Review",""
"sol-review-067","","","Prime-Ready Business Client","Government Contracting","Prime Contractor Presentation Review",""
"sol-review-068","","","Regional Services Client","Local SEO","Local Market Visibility Review",""
"sol-review-069","","","Phoenix Business Client","Local SEO","Phoenix Service Area Review",""
"sol-review-070","","","Mesa Service Client","Local SEO","Mesa Service Page Review",""
"sol-review-071","","","Glendale Business Client","Local SEO","Glendale Service Page Review",""
"sol-review-072","","","Scottsdale Service Client","Local SEO","Scottsdale Market Review",""
"sol-review-073","","","Tempe Business Client","Local SEO","Tempe Market Review",""
"sol-review-074","","","Intake Workflow Client","Client Portal","Customer Intake System Review",""
"sol-review-075","","","Large File Client","Client Portal","Large File Intake Review",""
"sol-review-076","","","File Operations Client","Client Portal","Drive Fallback Review",""
"sol-review-077","","","Client Communication Lead","Client Portal","Client Communication Review",""
"sol-review-078","","","AI Support Client","AI Systems","AI Knowledge Routing Review",""
"sol-review-079","","","AI Workflow Client","AI Systems","AI Guardrails Review",""
"sol-review-080","","","Business Brain Client","AI Systems","Business Brain Review",""
"sol-review-081","","","Internal AI Client","AI Systems","Internal Assistant Review",""
"sol-review-082","","","Workflow Triage Client","Automation","Automation Triage Review",""
"sol-review-083","","","Form Systems Client","Automation","Form Logic Review",""
"sol-review-084","","","Lead Routing Client","Automation","Lead Routing Review",""
"sol-review-085","","","Follow-Up Systems Client","Automation","Follow-Up Automation Review",""
"sol-review-086","","","AE Network Member","AE Network","AE Commission Model Review",""
"sol-review-087","","","Account Executive Partner","AE Network","AE Opportunity Review",""
"sol-review-088","","","Outreach Client","AE Network","Business Outreach Review",""
"sol-review-089","","","Staffing Strategy Client","Staffing Solutions","Staffing Needs Review",""
"sol-review-090","","","Vendor Support Client","Staffing + Sourcing","Vendor Sourcing Review",""
"sol-review-091","","","Workforce Planning Client","Staffing Solutions","Workforce Gap Review",""
"sol-review-092","","","Launch Checklist Client","Deployment Support","Deployment Checklist Review",""
"sol-review-093","","","Environment Setup Client","Deployment Support","Environment Variables Review",""
"sol-review-094","","","Route Testing Client","Deployment Support","Route Testing Review",""
"sol-review-095","","","Provider Setup Client","Deployment Support","Provider Setup Review",""
"sol-review-096","","","Operator Dashboard Client","Business Operations","Operator Dashboard Review",""
"sol-review-097","","","Process Ownership Client","Business Operations","Process Ownership Review",""
"sol-review-098","","","Service Delivery Client","Business Operations","Service Delivery Review",""
"sol-review-099","","","Reporting Client","Business Operations","Reporting Visibility Review",""
"sol-review-100","","","Brand Trust Client","Brand Strategy","Brand Trust Review",""
"sol-review-101","","","Offer Clarity Client","Brand Strategy","Offer Clarity Review",""
"sol-review-102","","","Visual Identity Client","Brand Strategy","Visual Upgrade Review",""
"sol-review-103","","","Business Voice Client","Brand Strategy","Business Voice Review",""
"sol-review-104","","","Sales Walkthrough Client","Sales Funnel","Sales Walkthrough Review",""
"sol-review-105","","","Proposal Flow Client","Sales Funnel","Proposal Flow Review",""
"sol-review-106","","","Buyer Confidence Client","Sales Funnel","Buyer Confidence Review",""
"sol-review-107","","","Conversion Strategy Client","Sales Funnel","Conversion Path Review",""
"sol-review-108","","","Five-Year Contact","Long-Term Value","Five-Year Consistency Review",""
"sol-review-109","","","Repeated Improvement Client","Long-Term Value","Repeated Improvement Review",""
"sol-review-110","","","Business Momentum Client","Long-Term Value","Business Momentum Review",""
"sol-review-111","","","Strategic Support Client","Long-Term Value","Strategic Support Review",""
"sol-review-112","","","Infrastructure Client","Digital Infrastructure","Digital Infrastructure Review",""
"sol-review-113","","","Platform Architecture Client","Digital Infrastructure","Platform Architecture Review",""
"sol-review-114","","","System Repair Client","Digital Infrastructure","System Repair Review",""
"sol-review-115","","","Operational Platform Client","Digital Infrastructure","Operational Platform Review",""
