id,name,category,subcategory,niche,city,state,zip,phone,email,website,booking_url,verification_score,starting_price,price_mode,claim_status,duplicate_status,identity_key,source_file,last_verified
"ames-construction-inc-scottsdale-85255-1a3d9fd","Ames Construction, Inc.","Home Services","Construction Contractor","Construction Contractor","Scottsdale","AZ","85255","(602) 431-2111","","https://www.amesconstruction.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:amesconstruction.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"ap-professionals-of-arizona-scottsdale-85251-d6ce44c","AP Professionals of Arizona","Business Services","Technology Staffing / Recruiting","Technology Staffing / Recruiting","Scottsdale","AZ","85251","(480) 947-1441","","https://www.approus.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:approus.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"apartment-hunters-phoenix-85051-4a7265c","Apartment Hunters","Real Estate And Property","Apartment Locating / Real Estate","Apartment Locating / Real Estate","Phoenix","AZ","85051","(602) 863-1500","","https://www.valleywidehouses.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:valleywidehouses.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"arizona-alliance-for-community-health-centers-phoenix-85034-c9af822","Arizona Alliance for Community Health Centers","Health And Care","Health Association","Health Association","Phoenix","AZ","85034","(602) 288-7547","","https://www.aachc.org","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:aachc.org","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"arizona-best-real-estate-scottsdale-85254-c8dd9fe","Arizona Best Real Estate","Real Estate And Property","Real Estate Brokerage","Real Estate Brokerage","Scottsdale","AZ","85254","(480) 948-4711","","https://www.arizonabest.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:arizonabest.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"austin-commercial-l-p-phoenix-85027-474a9c5","Austin Commercial, L.P.","Home Services","Commercial Construction","Commercial Construction","Phoenix","AZ","85027","(602) 267-1879","","https://www.austin-ind.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:austin-ind.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"aventura-catering-phoenix-85004-352fe2c","Aventura Catering","Food And Events","Catering","Catering","Phoenix","AZ","85004","(602) 534-8607","","https://www.aventuracatering.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:aventuracatering.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"baker-commodities-inc-phoenix-85005-460fcbd","Baker Commodities, Inc.","Local Services","Recycling / Rendering Services","Recycling / Rendering Services","Phoenix","AZ","85005","(602) 254-5971","","https://www.bakercommodities.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:bakercommodities.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"bbsi-barrett-business-services-inc-scottsdale-85250-175a1ff","BBSI/Barrett Business Services, Inc.","Legal And Financial","HR / Payroll / Business Services","HR / Payroll / Business Services","Scottsdale","AZ","85250","(480) 839-4400","","https://www.bbsi.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:bbsi.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"beatitudes-campus-phoenix-85021-e66a4ed","Beatitudes Campus","Health And Care","Senior Living / Care Campus","Senior Living / Care Campus","Phoenix","AZ","85021","(602) 995-6100","","https://www.beatitudescampus.org","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:beatitudescampus.org","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"beer-and-wine-distributors-of-arizona-phoenix-85003-782e174","Beer & Wine Distributors of Arizona","Local Services","Trade Association / Distributors","Trade Association / Distributors","Phoenix","AZ","85003","(602) 445-6345","","https://bwdaz.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:bwdaz.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"beltmann-group-inc-agent-for-north-american-van-lines-phoenix-85009-2285722","Beltmann Group, Inc. - Agent for North American Van Lines","Local Services","Moving / Relocation Services","Moving / Relocation Services","Phoenix","AZ","85009","(602) 484-7665","","https://beltmann.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:beltmann.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"border-states-electric-supply-phoenix-85034-85275d9","Border States Electric Supply","Home Services","Electrical Supply","Electrical Supply","Phoenix","AZ","85034","(602) 244-0331","","https://www.borderstateselectric.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:borderstateselectric.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"breyer-law-offices-p-c-phoenix-85044-9980de5","Breyer Law Offices, P.C.","Legal And Financial","Personal Injury Law Firm","Personal Injury Law Firm","Phoenix","AZ","85044","(480) 588-8508","","https://www.breyerlaw.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:breyerlaw.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"bridgeway-health-solutions-tempe-85281-9163161","Bridgeway Health Solutions","Health And Care","Health Solutions / Managed Care","Health Solutions / Managed Care","Tempe","AZ","85281","(866) 475-3129","","https://bridgewayhs.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:bridgewayhs.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"brown-and-brown-insurance-of-arizona-inc-phoenix-85004-b4e68c9","Brown & Brown Insurance of Arizona, Inc.","Legal And Financial","Insurance Brokerage","Insurance Brokerage","Phoenix","AZ","85004","(602) 277-6672","","https://bbphoenix.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:bbphoenix.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"burch-and-cracchiolo-p-a-phoenix-85004-acf6c6b","Burch & Cracchiolo, P.A.","Legal And Financial","Legal Services","Legal Services","Phoenix","AZ","85004","(602) 274-7611","","https://www.bcattorneys.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:bcattorneys.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"carollo-engineers-inc-phoenix-85034-7ad9b48","Carollo Engineers, Inc.","Local Services","Environmental Engineering","Environmental Engineering","Phoenix","AZ","85034","(602) 263-9500","","https://www.carollo.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:carollo.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"chas-roberts-air-conditioning-inc-phoenix-85021-1ea814f","Chas Roberts Air Conditioning, Inc.","Home Services","Air Conditioning / HVAC","Air Conditioning / HVAC","Phoenix","AZ","85021","(602) 943-7291","","https://www.chasroberts.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:chasroberts.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"city-of-hope-phoenix-goodyear-85338-ecfea5d","City of Hope - Phoenix","Health And Care","Cancer Treatment Center","Cancer Treatment Center","Goodyear","AZ","85338","(623) 207-3000","","https://cancercenter.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:cancercenter.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"cizek-associates-inc-phoenix-85016-426ff6c","Cizek Associates, Inc.","Business Services","Consulting / Professional Services","Consulting / Professional Services","Phoenix","AZ","85016","(602) 553-1066","","https://www.cizekassociates.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:cizekassociates.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"clear-channel-outdoor-phoenix-phoenix-85016-657302e","Clear Channel Outdoor Phoenix","Business Services","Outdoor Advertising / Media Tech","Outdoor Advertising / Media Tech","Phoenix","AZ","85016","(602) 381-5700","","https://www.clearchanneloutdoor.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:clearchanneloutdoor.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"colliers-international-phoenix-phoenix-85016-1b0cc51","Colliers International - Phoenix","Real Estate And Property","Commercial Real Estate","Commercial Real Estate","Phoenix","AZ","85016","(602) 222-5000","","https://www.colliers.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:colliers.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"corporate-interior-systems-inc-phoenix-85040-d3d75cf","Corporate Interior Systems, Inc.","Business Services","Office Furniture / Interiors","Office Furniture / Interiors","Phoenix","AZ","85040","(602) 304-0100","","https://www.cisinphx.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:cisinphx.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"coulter-cadillac-inc-phoenix-85014-4555168","Coulter Cadillac, Inc.","Auto Services","Auto Dealer","Auto Dealer","Phoenix","AZ","85014","(602) 264-1188","","https://www.coultercadillac.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:coultercadillac.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"delta-dental-of-arizona-scottsdale-85254-635c247","Delta Dental of Arizona","Health And Care","Dental Insurance / Health Plan","Dental Insurance / Health Plan","Scottsdale","AZ","85254","(602) 938-3131","","https://deltadentalaz.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:deltadentalaz.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"delta-diversified-enterprises-inc-tempe-85283-93b3bbf","Delta Diversified Enterprises, Inc.","Home Services","Electrical Contractor","Electrical Contractor","Tempe","AZ","85283","(480) 831-0532","","https://www.deltadiv.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:deltadiv.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"desert-ridge-marketplace-phoenix-85050-4d37756","Desert Ridge Marketplace","Real Estate And Property","Shopping Center / Retail Property","Shopping Center / Retail Property","Phoenix","AZ","85050","(480) 513-7586","","https://www.shopdesertridge.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:shopdesertridge.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"dircks-moving-and-logistics-phoenix-85043-2c4cabf","Dircks Moving & Logistics","Business Services","Moving / Logistics","Moving / Logistics","Phoenix","AZ","85043","(602) 267-9401","","https://www.dircks.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:dircks.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"duffy-group-inc-phoenix-85050-2ee1ed3","Duffy Group, Inc.","Local Services","Executive Search / Recruiting","Executive Search / Recruiting","Phoenix","AZ","85050","(602) 861-5840","","https://www.duffygroup.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:duffygroup.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"dwl-architects-and-planners-inc-phoenix-85004-02228af","DWL Architects & Planners, Inc.","Local Services","Architecture / Planning","Architecture / Planning","Phoenix","AZ","85004","(602) 264-9731","","https://www.dwlarchitects.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:dwlarchitects.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"elontec-llc-phoenix-85043-d1d9715","Elontec, LLC","Business Services","Office Relocation / Tech Services","Office Relocation / Tech Services","Phoenix","AZ","85043","(602) 759-5500","","https://elontec.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:elontec.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"fairytale-brownies-inc-phoenix-85040-d1096b3","Fairytale Brownies, Inc.","Food And Events","Bakery / Ecommerce Food","Bakery / Ecommerce Food","Phoenix","AZ","85040","(800) 531-5209","","https://www.brownies.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:brownies.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"gallagher-and-kennedy-p-a-phoenix-85016-887b1be","Gallagher & Kennedy, P.A.","Legal And Financial","Law Firm","Law Firm","Phoenix","AZ","85016","(602) 530-8000","","https://gknet.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:gknet.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"hallier-stearns-brierley-plc-phoenix-85018-6394357","Hallier Stearns Brierley PLC","Legal And Financial","Law Firm","Law Firm","Phoenix","AZ","85018","(602) 285-5500","","https://hallierlaw.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:hallierlaw.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"hdr-engineering-inc-phoenix-85012-7e0544d","HDR Engineering, Inc.","Local Services","Engineering","Engineering","Phoenix","AZ","85012","(602) 522-7700","","https://hdrinc.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:hdrinc.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"hospice-of-the-valley-phoenix-85014-e3bf8fd","Hospice of the Valley","Health And Care","Hospice Care","Hospice Care","Phoenix","AZ","85014","(602) 530-6900","","https://hov.org","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:hov.org","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"huitt-zollars-inc-phoenix-85018-3d69524","Huitt-Zollars, Inc.","Local Services","Engineering / Architecture","Engineering / Architecture","Phoenix","AZ","85018","(602) 252-8384","","https://huitt-zollars.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:huitt-zollars.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"ideas-collide-scottsdale-85251-bfb98cf","Ideas Collide","Creative Services","Marketing / Digital Services","Marketing / Digital Services","Scottsdale","AZ","85251","(480) 659-4520","","https://www.ideascollide.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:ideascollide.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"integrity-a-c-and-heating-llc-phoenix-85024-a69003d","Integrity A/C & Heating, LLC","Home Services","HVAC Contractor","HVAC Contractor","Phoenix","AZ","85024","(602) 971-0567","","https://integrity-hvac.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:integrity-hvac.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"invader-pest-management-inc-glendale-85311-b53c5ba","Invader Pest Management, Inc.","Home Services","Pest Control","Pest Control","Glendale","AZ","85311","(623) 435-0228","","https://www.invader.net","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:invader.net","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"jani-king-of-phoenix-phoenix-85020-852149a","Jani-King of Phoenix","Home Services","Commercial Cleaning / Janitorial","Commercial Cleaning / Janitorial","Phoenix","AZ","85020","(602) 433-0550","","https://www.janiking.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:janiking.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"keo-marketing-inc-phoenix-85004-bee14f3","KEO Marketing Inc","Creative Services","B2B Marketing Agency","B2B Marketing Agency","Phoenix","AZ","85004","(480) 413-2090","","https://keomarketing.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:keomarketing.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"mcfarland-s-carpet-service-phoenix-85008-b3c608a","McFarland's Carpet Service","Home Services","Carpet / Flooring Service","Carpet / Flooring Service","Phoenix","AZ","85008","(602) 244-9329","","https://www.mcfarlandscarpet.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:mcfarlandscarpet.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"mpr-med-exercise-phoenix-salon-personal-care-d469bb3","MPR Med Exercise","Beauty And Wellness","Medical Exercise / Mobile Fitness","Medical Exercise / Mobile Fitness","Scottsdale","AZ","85250","(602) 980-4199","","https://mprmedexercise.com","","21","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:mprmedexercise.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"north-central-news-inc-phoenix-85016-c99746d","North Central News, Inc.","Beauty And Wellness","Local Media / Newspaper","Local Media / Newspaper","Phoenix","AZ","85016","(602) 277-2742","","https://northcentralnews.net","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:northcentralnews.net","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"o-neil-printing-inc-phoenix-85040-7141017","O'Neil Printing, Inc.","Business Services","Printing Services","Printing Services","Phoenix","AZ","85040","(602) 258-7789","","https://oneilprint.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:oneilprint.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"omega-test-and-balance-llc-phoenix-85029-a8409db","Omega Test & Balance, LLC","Home Services","HVAC Testing / Balancing","HVAC Testing / Balancing","Phoenix","AZ","85029","(602) 441-4727","","https://omegatab.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:omegatab.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"palamerican-security-phoenix-85023-2d99f7d","PalAmerican Security","Business Services","Security Services","Security Services","Phoenix","AZ","85023","(602) 331-7000","","https://palamerican.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:palamerican.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"pearson-s-enterprises-inc-phoenix-85009-8f4c7a1","Pearson's Enterprises, Inc.","Business Services","Signage / Printing","Signage / Printing","Phoenix","AZ","85009","(602) 272-9461","","https://pearsonsigns.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:pearsonsigns.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"penrose-academy-scottsdale-85254-b32c90d","Penrose Academy","Beauty And Wellness","Cosmetology / Barber School","Cosmetology / Barber School","Scottsdale","AZ","85254","(480) 222-9540","","https://www.penrose.edu","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:penrose.edu","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"phoenix-fence-co-phoenix-85040-22e13e2","Phoenix Fence Co.","Local Services","Fencing And Gates","Fencing And Gates","Phoenix","AZ","85040","(602) 276-4283","","https://www.phoenixfence.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:phoenixfence.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"pixa-phoenix-85040-c787c03","Pixa","Creative Services","Branding / Design / Web","Branding / Design / Web","Phoenix","AZ","85040","(480) 380-2201","","https://ThinkPixa.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:thinkpixa.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"amazon-phoenix-major-employer-adc4ff0","Amazon","Major Employers","Major Employer","Major Employer","Phoenix","AZ","","","","https://www.amazon.com","","13","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:amazon.com","seed/businesses/inbox/az_businesses_seed.csv","2026-05-27"
