lead_id,company_name,business_type,category_bucket,niche,city,state,zip,phone,address,website,source_url,source_lines,business_verified,claim_status,accepts_requests,last_verified,tags,verification_notes,outreach_fit,notes
VV-0011,"Invader Pest Management, Inc.",Home & Garden / Pest control,Home & Garden,Pest control,Glendale,AZ,85311,(623) 435-0228,"6087 N. 57th Dr., Glendale, AZ 85311-5356",www.invader.net,https://business.phoenixchamber.com/list/ql/home-garden-12,L273-L279,false,unclaimed,true,2026-05-19,Pest control|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L273-L279.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0012,Lunar Pest Control,Home & Garden / Pest control,Home & Garden,Pest control,Chandler,AZ,85224,(480) 864-2728,"2858 W. Gail Dr., Chandler, AZ 85224",,https://business.phoenixchamber.com/list/ql/home-garden-12,L281-L286,false,unclaimed,true,2026-05-19,Pest control|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L281-L286.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0013,Moon Valley Nursery,Home & Garden / Landscaping / nursery,Home & Garden,Landscaping / nursery,Scottsdale,AZ,85260,(480) 374-3964,"14000 N. Pima Rd. Suite 150, Scottsdale, AZ 85260",,https://business.phoenixchamber.com/list/ql/home-garden-12,L288-L292,false,unclaimed,true,2026-05-19,Landscaping / nursery|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L288-L292.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0014,Phoenix Fence Co.,Home & Garden / Fencing and gates,Home & Garden,Fencing and gates,Phoenix,AZ,85040,(602) 276-4283,"3636 S. 16th St., Phoenix, AZ 85040",www.phoenixfence.com,https://business.phoenixchamber.com/list/ql/home-garden-12,L304-L310,false,unclaimed,true,2026-05-19,Fencing and gates|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L304-L310.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0015,Servpro of Phoenix,Home & Garden / Restoration services,Home & Garden,Restoration services,Phoenix,AZ,85034,(480) 503-2090,"3306 E Washington St, Phoenix, AZ 85034",,https://business.phoenixchamber.com/list/ql/home-garden-12,L318-L326,false,unclaimed,true,2026-05-19,Restoration services|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L318-L326.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0016,The Green Room Landscape Architecture,Home & Garden / Landscape architecture,Home & Garden,Landscape architecture,Phoenix,AZ,85012,(480) 795-4754,"3002 North Third Street, Phoenix, AZ 85012",,https://business.phoenixchamber.com/list/ql/home-garden-12,L327-L331,false,unclaimed,true,2026-05-19,Landscape architecture|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L327-L331.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0017,TruBlue Home Service Ally of Phoenix,Home & Garden / Home repair services,Home & Garden,Home repair services,Phoenix,AZ,85070,(602) 818-8566,"1819 E. Morten Dr. Suite 170, Phoenix, AZ 85070",,https://business.phoenixchamber.com/list/ql/home-garden-12,L333-L338,false,unclaimed,true,2026-05-19,Home repair services|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L333-L338.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0018,Trudoor - Doors & Hardware,Home & Garden / Doors and hardware,Home & Garden,Doors and hardware,Phoenix,AZ,85043,(623) 748-9122,"5858 W Lower Buckeye Rd #100, Phoenix, AZ 85043",,https://business.phoenixchamber.com/list/ql/home-garden-12,L340-L345,false,unclaimed,true,2026-05-19,Doors and hardware|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L340-L345.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0019,Val-U-Chem,Home & Garden / Janitorial / chemical supplies,Home & Garden,Janitorial / chemical supplies,Phoenix,AZ,85034,(602) 957-2808,"2219 E. University Dr., Phoenix, AZ 85034",,https://business.phoenixchamber.com/list/ql/home-garden-12,L347-L351,false,unclaimed,true,2026-05-19,Janitorial / chemical supplies|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L347-L351.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0020,"Window World of Phoenix, LLC",Home & Garden / Windows,Home & Garden,Windows,Phoenix,AZ,85009,(602) 535-0180,"2530 W. Holly St., Phoenix, AZ 85009",,https://business.phoenixchamber.com/list/ql/home-garden-12,L360-L365,false,unclaimed,true,2026-05-19,Windows|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L360-L365.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0021,Zest Plumbing & Drain,Home & Garden / Plumbing / drain cleaning,Home & Garden,Plumbing / drain cleaning,Scottsdale,AZ,85260,(480) 618-1750,"16445 N. 91st Street Ste #107, Scottsdale, AZ 85260",,https://business.phoenixchamber.com/list/ql/home-garden-12,L367-L375,false,unclaimed,true,2026-05-19,Plumbing / drain cleaning|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L367-L375.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0022,"Austin Commercial, L.P.",Construction / Commercial construction,Construction,Commercial construction,Phoenix,AZ,85027,(602) 267-1879,"2001 W. Pinnacle Peak Rd Ste. 200, Phoenix, AZ 85027",www.austin-ind.com,https://business.phoenixchamber.com/list/ql/construction-equipment-contractors-7,L184-L189,false,unclaimed,true,2026-05-19,Commercial construction|Construction|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L184-L189.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0023,Cardinal Wholesale Cabinets,Construction / Cabinets / countertops,Construction,Cabinets / countertops,Phoenix,AZ,85040,(602) 296-5648,"3707 E. Broadway Rd., Phoenix, AZ 85040",,https://business.phoenixchamber.com/list/ql/construction-equipment-contractors-7,L191-L197,false,unclaimed,true,2026-05-19,Cabinets / countertops|Construction|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L191-L197.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0024,IDM Companies,Construction / Real estate development / multifamily,Construction,Real estate development / multifamily,Scottsdale,AZ,85253,(480) 977-3477,"6720 N Scottsdale Rd Suite 190, Scottsdale, AZ 85253",,https://business.phoenixchamber.com/list/ql/construction-equipment-contractors-7,L205-L213,false,unclaimed,true,2026-05-19,Real estate development / multifamily|Construction|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L205-L213.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0025,"QDI - Quarries Direct International, LLC",Construction / Stone / construction materials,Construction,Stone / construction materials,Phoenix,AZ,85009,(602) 269-7900,"2633 N. 24th Dr., Phoenix, AZ 85009",,https://business.phoenixchamber.com/list/ql/construction-equipment-contractors-7,L214-L218,false,unclaimed,true,2026-05-19,Stone / construction materials|Construction|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L214-L218.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0026,SA Recycling,Construction / Recycling / materials,Construction,Recycling / materials,Phoenix,AZ,85009,(602) 447-3000,"3640 S. 35th Ave., Phoenix, AZ 85009",,https://business.phoenixchamber.com/list/ql/construction-equipment-contractors-7,L220-L225,false,unclaimed,true,2026-05-19,Recycling / materials|Construction|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L220-L225.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0027,"American Asphalt Paving & Sealcoating, Inc.",Real Estate/Contractors / Paving / sealcoating,Real Estate/Contractors,Paving / sealcoating,Phoenix,AZ,85007,(602) 256-7376,"642 N. 17th Ave., Phoenix, AZ 85007-2235",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L195-L199,false,unclaimed,true,2026-05-19,Paving / sealcoating|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L195-L199.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0028,"Ames Construction, Inc.",Real Estate/Contractors / Construction contractor,Real Estate/Contractors,Construction contractor,Scottsdale,AZ,85255,(602) 431-2111,"8333 E. Hartford Dr., Scottsdale, AZ 85255",www.amesconstruction.com,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L201-L207,false,unclaimed,true,2026-05-19,Construction contractor|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L201-L207.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0029,Apartment Hunters,Real Estate/Contractors / Apartment locating / real estate,Real Estate/Contractors,Apartment locating / real estate,Phoenix,AZ,85051,(602) 863-1500,"3404 W. Cheryl Dr., Ste. A-158, Phoenix, AZ 85051",www.valleywidehouses.com,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L209-L214,false,unclaimed,true,2026-05-19,Apartment locating / real estate|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L209-L214.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0030,Arizona Best Real Estate,Real Estate/Contractors / Real estate brokerage,Real Estate/Contractors,Real estate brokerage,Scottsdale,AZ,85254,(480) 948-4711,"11333 N. Scottsdale Rd., Ste. 100, Scottsdale, AZ 85254-5186",www.arizonabest.com,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L224-L229,false,unclaimed,true,2026-05-19,Real estate brokerage|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L224-L229.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0031,"Ashley Karn, The Karn Group at Barrett Real Estate",Real Estate/Contractors / Real estate agent/team,Real Estate/Contractors,Real estate agent/team,Scottsdale,AZ,85260,(480) 433-9405,"7721 E Gray Rd #204, Scottsdale, AZ 85260",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L239-L243,false,unclaimed,true,2026-05-19,Real estate agent/team|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L239-L243.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0032,"Atlas Residential, LLC",Real Estate/Contractors / Residential property management,Real Estate/Contractors,Residential property management,Paradise Valley,AZ,85253,(602) 903-7286,"6250 E. Cheney Dr., Paradise Valley, AZ 85253",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L245-L250,false,unclaimed,true,2026-05-19,Residential property management|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L245-L250.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0033,AVE Phoenix Terra,Real Estate/Contractors / Apartment community,Real Estate/Contractors,Apartment community,Phoenix,AZ,85003,(602) 836-4680,"555 N. 5th Avenue, Phoenix, AZ 85003",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L252-L257,false,unclaimed,true,2026-05-19,Apartment community|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L252-L257.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0034,"Brooks Realty & Advisory Group, Inc.",Real Estate/Contractors / Real estate advisory,Real Estate/Contractors,Real estate advisory,Scottsdale,AZ,85258,(602) 264-1565,"7373 E. Doubletree Ranch Rd., Ste. 230, Scottsdale, AZ 85258-5501",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L259-L263,false,unclaimed,true,2026-05-19,Real estate advisory|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L259-L263.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0035,Castile Roofing,Real Estate/Contractors / Roofing contractor,Real Estate/Contractors,Roofing contractor,Phoenix,AZ,85015,(602) 687-7282,"3015 N. 16th Ave., Phoenix, AZ 85015",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L285-L290,false,unclaimed,true,2026-05-19,Roofing contractor|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L285-L290.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0036,CEC Facilities,Real Estate/Contractors / Facilities services,Real Estate/Contractors,Facilities services,Phoenix,AZ,85040,(817) 734-0040,"3731 E. Grove Street, Phoenix, AZ 85040",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L299-L303,false,unclaimed,true,2026-05-19,Facilities services|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L299-L303.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0037,Colliers International - Phoenix,Real Estate/Contractors / Commercial real estate,Real Estate/Contractors,Commercial real estate,Phoenix,AZ,85016,(602) 222-5000,"2390 E. Camelback Rd., Ste. 100, Phoenix, AZ 85016-3468",www.colliers.com,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L319-L324,false,unclaimed,true,2026-05-19,Commercial real estate|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L319-L324.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0038,Concord General Contracting,Real Estate/Contractors / General contractor,Real Estate/Contractors,General contractor,Mesa,AZ,85202,(480) 962-8080,"2240 W. Broadway Rd., Ste 105, Mesa, AZ 85202",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L333-L338,false,unclaimed,true,2026-05-19,General contractor|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L333-L338.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0039,"Delta Diversified Enterprises, Inc.",Real Estate/Contractors / Electrical contractor,Real Estate/Contractors,Electrical contractor,Tempe,AZ,85283,(480) 831-0532,"425 W. Gemini Dr., Tempe, AZ 85283",www.deltadiv.com,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L340-L345,false,unclaimed,true,2026-05-19,Electrical contractor|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L340-L345.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0040,"Desert Fleet Outfitters, LLC",Real Estate/Contractors / Fleet outfitting,Real Estate/Contractors,Fleet outfitting,Phoenix,AZ,85040,(480) 295-1676,"4635 S 33rd Street, Phoenix, AZ 85040",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L347-L352,false,unclaimed,true,2026-05-19,Fleet outfitting|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L347-L352.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0041,Dr. Win Realty LLC.,Real Estate/Contractors / Real estate,Real Estate/Contractors,Real estate,Phoenix,AZ,85016,(480) 696-9886,"2345 E. Thomas Rd. suite 400, Phoenix, AZ 85016",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L354-L358,false,unclaimed,true,2026-05-19,Real estate|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L354-L358.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0042,Floor Daddy,Real Estate/Contractors / Flooring installation,Real Estate/Contractors,Flooring installation,Tempe,AZ,85282,(602) 313-3000,"3910 S Rural Rd Suite 104, Tempe, AZ 85282",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L374-L382,false,unclaimed,true,2026-05-19,Flooring installation|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L374-L382.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0043,Gus Brothers Construction,Real Estate/Contractors / Construction contractor,Real Estate/Contractors,Construction contractor,Scottsdale,AZ,85252,(480) 766-0996,"PO Box 578, Scottsdale, AZ 85252-0578",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L411-L415,false,unclaimed,true,2026-05-19,Construction contractor|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L411-L415.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0044,HRR Team Real Estate,Real Estate/Contractors / Real estate team,Real Estate/Contractors,Real estate team,Phoenix,AZ,85023,(623) 666-5953,"1644 W Thunderbird Rd, Phoenix, AZ 85023",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L431-L435,false,unclaimed,true,2026-05-19,Real estate team|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L431-L435.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0045,Indy by Industrious,Real Estate/Contractors / Workspace / office rental,Real Estate/Contractors,Workspace / office rental,Phoenix,AZ,85004,(480) 530-6227,"201 E. Washington St. 5th Floor, Phoenix, AZ 85004",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L446-L450,false,unclaimed,true,2026-05-19,Workspace / office rental|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L446-L450.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0046,Kitchell Corp.,Real Estate/Contractors / Construction / development,Real Estate/Contractors,Construction / development,Phoenix,AZ,85016,(602) 264-4411,"1707 E. Highland Ave., Ste. 100, Phoenix, AZ 85016-4662",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L459-L464,false,unclaimed,true,2026-05-19,Construction / development|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L459-L464.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0047,Laurel Tree at Northern,Real Estate/Contractors / Apartment community,Real Estate/Contractors,Apartment community,Phoenix,AZ,85021,(480) 506-8611,"1825 Northern Ave., Phoenix, AZ 85021",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L466-L470,false,unclaimed,true,2026-05-19,Apartment community|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L466-L470.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0048,Lucid Private Offices,Real Estate/Contractors / Private offices / workspace,Real Estate/Contractors,Private offices / workspace,Phoenix,AZ,85016,(602) 847-9835,"2325 E. Camelback Rd. Suite 400, Phoenix, AZ 85016",,https://business.phoenixchamber.com/list/ql/real-estate-moving-storage-20,L472-L477,false,unclaimed,true,2026-05-19,Private offices / workspace|Real Estate/Contractors|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L472-L477.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
